GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AHNBE001,AHNBE002,AHNBE003,NAME_M,AHNBM001,AHNBM002,AHNBM003
"G06033434","2017","CA",,,"California","06",,,"Hesperia city","33434",,,,,,,,,,,,,,,,"16000US0633434","Hesperia city, California",26335,25398,937,"Hesperia city, California",1577,1500,520
"G06036000","2017","CA",,,"California","06",,,"Huntington Beach city","36000",,,,,,,,,,,,,,,,"16000US0636000","Huntington Beach city, California",82344,77155,5189,"Huntington Beach city, California",2776,2468,1293
"G06036448","2017","CA",,,"California","06",,,"Indio city","36448",,,,,,,,,,,,,,,,"16000US0636448","Indio city, California",43804,35675,8129,"Indio city, California",2437,2401,1316
"G06036546","2017","CA",,,"California","06",,,"Inglewood city","36546",,,,,,,,,,,,,,,,"16000US0636546","Inglewood city, California",38029,35788,2241,"Inglewood city, California",2074,2023,770
"G06036770","2017","CA",,,"California","06",,,"Irvine city","36770",,,,,,,,,,,,,,,,"16000US0636770","Irvine city, California",103560,97161,6399,"Irvine city, California",4014,3469,1970
"G06037692","2017","CA",,,"California","06",,,"Jurupa Valley city","37692",,,,,,,,,,,,,,,,"16000US0637692","Jurupa Valley city, California",24975,23784,1191,"Jurupa Valley city, California",1547,1438,628
"G06039248","2017","CA",,,"California","06",,,"Laguna Niguel city","39248",,,,,,,,,,,,,,,,"16000US0639248","Laguna Niguel city, California",28033,26133,1900,"Laguna Niguel city, California",1628,1430,962
"G06039486","2017","CA",,,"California","06",,,"Lake Elsinore city","39486",,,,,,,,,,,,,,,,"16000US0639486","Lake Elsinore city, California",17342,16388,954,"Lake Elsinore city, California",1548,1340,628
"G06039496","2017","CA",,,"California","06",,,"Lake Forest city","39496",,,,,,,,,,,,,,,,"16000US0639496","Lake Forest city, California",30230,29519,711,"Lake Forest city, California",1503,1435,583
"G06039892","2017","CA",,,"California","06",,,"Lakewood city","39892",,,,,,,,,,,,,,,,"16000US0639892","Lakewood city, California",25795,25186,609,"Lakewood city, California",1640,1579,473
"G06040130","2017","CA",,,"California","06",,,"Lancaster city","40130",,,,,,,,,,,,,,,,"16000US0640130","Lancaster city, California",52933,48327,4606,"Lancaster city, California",2233,1659,1274
"G06041992","2017","CA",,,"California","06",,,"Livermore city","41992",,,,,,,,,,,,,,,,"16000US0641992","Livermore city, California",34624,33085,1539,"Livermore city, California",1945,1818,737
"G06042202","2017","CA",,,"California","06",,,"Lodi city","42202",,,,,,,,,,,,,,,,"16000US0642202","Lodi city, California",23172,22454,718,"Lodi city, California",1659,1594,450
"G06043000","2017","CA",,,"California","06",,,"Long Beach city","43000",,,,,,,,,,,,,,,,"16000US0643000","Long Beach city, California",175632,167447,8185,"Long Beach city, California",4157,4073,1579
"G06044000","2017","CA",,,"California","06",,,"Los Angeles city","44000",,,,,,,,,,,,,,,,"16000US0644000","Los Angeles city, California",1496661,1384851,111810,"Los Angeles city, California",9511,9554,5262
"G06044574","2017","CA",,,"California","06",,,"Lynwood city","44574",,,,,,,,,,,,,,,,"16000US0644574","Lynwood city, California",15515,15263,252,"Lynwood city, California",1096,1049,236
"G06045022","2017","CA",,,"California","06",,,"Madera city","45022",,,,,,,,,,,,,,,,"16000US0645022","Madera city, California",18463,18079,384,"Madera city, California",1404,1409,296
"G06045484","2017","CA",,,"California","06",,,"Manteca city","45484",,,,,,,,,,,,,,,,"16000US0645484","Manteca city, California",25772,24573,1199,"Manteca city, California",1824,1651,694
